group,value
Normal (μ=50),51.50876265312072
Normal (μ=50),48.414741640504374
Normal (μ=50),57.68507180531938
Normal (μ=50),51.25880140583648
Normal (μ=50),43.57196752206667
Normal (μ=50),54.33914065891382
Normal (μ=50),65.64800054156164
Normal (μ=50),61.3649715575509
Normal (μ=50),41.555177170316085
Normal (μ=50),34.81494234744737
Normal (μ=50),42.520706449551774
Normal (μ=50),50.495911752166926
Normal (μ=50),22.09963070433399
Normal (μ=50),47.37450003280945
Normal (μ=50),35.04906863296322
Normal (μ=50),41.21279174355858
Normal (μ=50),43.46889220571228
Normal (μ=50),46.204398123570144
Normal (μ=50),54.93956643648959
Normal (μ=50),62.51016043331213
Normal (μ=50),48.45758404467159
Normal (μ=50),66.39756164659623
Normal (μ=50),42.017663918160636
Normal (μ=50),54.21812084111624
Normal (μ=50),60.841642179821704
Normal (μ=50),51.1281475731305
Normal (μ=50),41.078009007754304
Normal (μ=50),38.93929548489896
Normal (μ=50),44.50729009199193
Normal (μ=50),52.64234148164059
Normal (μ=50),37.88458179753517
Normal (μ=50),47.489893101539444
Normal (μ=50),48.089299881026264
Normal (μ=50),56.49014701622969
Normal (μ=50),52.57590947007609
Normal (μ=50),54.26447250847906
Normal (μ=50),42.15405668697993
Normal (μ=50),48.444636395686764
Normal (μ=50),59.407705640735955
Normal (μ=50),67.92117374264913
Normal (μ=50),34.891213614750555
Normal (μ=50),68.16708529686875
Normal (μ=50),66.15050508538765
Normal (μ=50),59.37573680840513
Normal (μ=50),53.17346756395164
Normal (μ=50),46.23292622556286
Normal (μ=50),67.4962482024435
Normal (μ=50),73.52309979739958
Normal (μ=50),71.6196184383935
Normal (μ=50),65.78124517681243
Normal (μ=50),54.28856492790747
Normal (μ=50),35.50017641261394
Normal (μ=50),49.946550402559
Normal (μ=50),57.87769922091603
Normal (μ=50),34.53966243500535
Normal (μ=50),54.7414647221841
Normal (μ=50),55.15836433786676
Normal (μ=50),58.35251268755442
Normal (μ=50),35.79058439891373
Normal (μ=50),42.05956913553158
Normal (μ=50),44.76277703428134
Normal (μ=50),35.96237710672563
Normal (μ=50),70.87241452556161
Normal (μ=50),44.04907125869418
Normal (μ=50),53.947635553522424
Normal (μ=50),46.89712945431291
Normal (μ=50),69.00167454562546
Normal (μ=50),65.84433184498207
Normal (μ=50),57.60023147389899
Normal (μ=50),23.557881432240194
Normal (μ=50),50.624347691118636
Normal (μ=50),58.204234289318414
Normal (μ=50),62.047538910106034
Normal (μ=50),42.58511546350879
Normal (μ=50),71.86413635993988
Normal (μ=50),34.15482835984048
Normal (μ=50),42.06166373821737
Normal (μ=50),61.22059985736826
Normal (μ=50),50.58865536590374
Normal (μ=50),74.02871100374307
Normal (μ=50),52.26223031014959
Normal (μ=50),42.40167091769328
Normal (μ=50),45.4692379372063
Normal (μ=50),36.90624658856966
Normal (μ=50),34.6678380033607
Normal (μ=50),57.56493788921878
Normal (μ=50),56.97398974895367
Normal (μ=50),65.5347058332934
Normal (μ=50),40.94473050488082
Normal (μ=50),70.26928942932408
Normal (μ=50),46.551347506296004
Normal (μ=50),68.89289934613504
Normal (μ=50),44.80656983380884
Normal (μ=50),41.1742004918927
Normal (μ=50),52.997424458704
Normal (μ=50),62.37743701843367
Normal (μ=50),51.932114920584134
Normal (μ=50),42.97365411051996
Normal (μ=50),33.90536343107997
Normal (μ=50),33.18175742099086
Normal (μ=50),56.03219419849839
Normal (μ=50),61.87655639942966
Normal (μ=50),48.028464888496515
Normal (μ=50),37.107621701258786
